what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1368559079712
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1368559079712
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1368559079713
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1368559079713
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1368559079714
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1368559079716
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1368559079716
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1368559079718
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1368559079719
started,bundle,org.eclipse.mylyn.bugzilla.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.core",1368559079720
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.ui",1368559079721
started,bundle,org.eclipse.mylyn.commons.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.core",1368559079721
started,bundle,org.eclipse.mylyn.commons.net,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.net",1368559079721
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.core",1368559079722
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.feed",1368559079723
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1368559079724
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1368559079725
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1368559079725
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1368559079725
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1368559079726
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1368559079728
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1368559079729
os,sysinfo,,,"win32",1368559079731
arch,sysinfo,,,"x86_64",1368559079731
ws,sysinfo,,,"win32",1368559079731
locale,sysinfo,,,"en_US",1368559079731
processors,sysinfo,,,"6",1368559079731
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1368559079731
java.runtime.version,sysinfo,,,"1.7.0_15-b03",1368559079731
java.specification.name,sysinfo,,,"Java Platform API Specification",1368559079731
java.specification.vendor,sysinfo,,,"Oracle Corporation",1368559079731
java.specification.version,sysinfo,,,"1.7",1368559079731
java.vendor,sysinfo,,,"Oracle Corporation",1368559079731
java.version,sysinfo,,,"1.7.0_15",1368559079731
java.vm.info,sysinfo,,,"mixed mode",1368559079731
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1368559079731
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1368559079731
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1368559079731
java.vm.specification.version,sysinfo,,,"1.7",1368559079732
java.vm.vendor,sysinfo,,,"Oracle Corporation",1368559079732
java.vm.version,sysinfo,,,"23.7-b01",1368559079732
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ProjectsView",1368559089676
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackagesView",1368559089742
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.TypesView",1368559089774
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.MembersView",1368559089830
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaBrowsingPerspective",1368559089852
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ProjectsView",1368559089873
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1368559089960
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaBrowsingPerspective",1368559089960
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1368559103980
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1368559103996
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368559104728
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1368559126895
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1368559126901
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368559126938
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1368559133981
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1368559134724
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1368559134727
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368559145875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368559147291
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1368559150142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368559165175
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368559170377
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368559187978
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368559216336
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1368559216346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368559220722
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368559226221
